Lines,start_station,destination
1,Xinzhuang,Waihuanlu
1,Waihuanlu,Lianhua Road
1,Lianhua Road,Jinjiang Park
1,,
1,Jinjiang Park,Shanghai South Railway Station
1,,
1,Shanghai South Railway Station,Caobao Road
1,Caobao Road,Shanghai Indoor Stadium
1,Shanghai Indoor Stadium,Xujiahui
1,Xujiahui,Hengshan Road
1,Hengshan Road, Changshu Road
1,Changshu Road,South Shaanxi Road
1,South Shaanxi Road,Site of the First CPC National Congress - South Huangpi Road
1,Site of the First CPC National Congress - South Huangpi Road,People's Square
1,People's Square,Xinzha Road
1,Xinzha Road,Hanzhong Road
1,Hanzhong Road,Shanghai Railway Station
1,Shanghai Railway Station,North Zhongshan Road
1,North Zhongshan Road,Yanchang Road
1,Yanchang Road,Shanghai Circus World
1,Shanghai Circus World,Wenshui Road
1,Wenshui Road,Pengpu Xincun
1,Pengpu Xincun,Gongkang Road
1,Gongkang Road,Tonghe Xincun
1,Tonghe Xincun,Hulan Road
1,Hulan Road,Gongfu Xincun
1,Gongfu Xincun,Bao'an Highway
1,Bao'an Highway,West Youyi Road
1,West Youyi Road,Fujin Road
2,East Xujing,Hongqiao Railway Station
2,Hongqiao Railway Station,Hongqiao Airport Terminal 2
2,Hongqiao Airport Terminal 2,Songhong Road
2,Songhong Road,Beixinjing
2,Beixinjing,Weining Road
2,Weining Road,Loushanguan Road
2,Loushanguan Road,Zhongshan Park
2,Zhongshan Park,Jiangsu Road
2,Jiangsu Road,Jing'an Temple
2,Jing'an Temple,West Nanjing Road
2,West Nanjing Road,People's Square
2,People's Square,East Nanjing Road
2,East Nanjing Road,Lujiazui
2,Lujiazui,Dongchang Road
2,Dongchang Road,Century Avenue
2,Century Avenue,Shanghai Science and Technology Museum
2,Shanghai Science and Technology Museum,Century Park
2,Century Park,Longyang Road
2,Longyang Road,Zhangjiang Hi-Tech Park
2,Zhangjiang Hi-Tech Park,Jinke Road
2,Jinke Road,Guanglan Road
2,Guanglan Road,Tangzhen
2,Tangzhen,Middle Chuangxin Road
2,Middle Chuangxin Road,East Huaxia Road
2,East Huaxia Road,Chuansha
2,Chuansha,Lingkong Road
2,Lingkong Road,Yuandong Avenue
2,Yuandong Avenue,Haitiansan Road
2,Haitiansan Road,Pudong International Airport
3,Shanghai South Railway Station,Shilong Road
3,Shilong Road,Longcao Road
3,Longcao Road,Caoxi Road
3,Caoxi Road,Yishan Road
3,Yishan Road,Hongqiao Road
3,Hongqiao Road,West Yan'an Road
3,West Yan'an Road,Zhongshan Park
3,Zhongshan Park,Jinshajiang Road
3,Jinshajiang Road,Caoyang Road
3,Caoyang Road,Zhenping Road
3,Zhenping Road,Zhongtan Road
3,Zhongtan Road,Shanghai Railway Station
3,Shanghai Railway Station,Baoshan Road
3,Baoshan Road,Dongbaoxing Road
3,Dongbaoxing Road,Hongkou Football Stadium
3,Hongkou Football Stadium,Chifeng Road
3,Chifeng Road,Dabaishu
3,Dabaishu,Jiangwan Town
3,Jiangwan Town,West Yingao Road
3,West Yingao Road,South Changjiang Road
3,South Changjiang Road,Songfa Road
3,Songfa Road,Zhanghuabang
3,Zhanghuabang,Songbin Road
3,Songbin Road,Shuichan Road
3,Shuichan Road,Baoyang Road
3,Baoyang Road,Youyi Road
3,Youyi Road,Tieli Road
3,Tieli Road,North Jiangyang Road
4,Yishan Road,Hongqiao Road
4,Hongqiao Road,West Yan'an Road
4,West Yan'an Road,Zhongshan Park
4,Zhongshan Park,Jinshajiang Road
4,Jinshajiang Road,Caoyang Road
4,Caoyang Road,Zhenping Road
4,Zhenping Road,Zhongtan Road
4,Zhongtan Road,Shanghai Railway Station
4,Shanghai Railway Station,Baoshan Road
4,Baoshan Road,Hailun Road
4,Hailun Road,Linping Road
4,Linping Road,Dalian Road
4,Dalian Road,Yangshupu Road
4,Yangshupu Road,Pudong Avenue
4,Pudong Avenue,Century Avenue
4,Century Avenue,Pudian Road
4,Pudian Road,Lancun Road
4,Lancun Road,Tangqiao
4,Tangqiao,Nanpu Bridge
4,Nanpu Bridge,South Xizang Road
4,South Xizang Road,Luban Road
4,Luban Road,Damuqiao Road
4,Damuqiao Road,Dong'an Road
4,Dong'an Road,Shanghai Stadium
4,Shanghai Stadium,Shanghai Indoor Stadium
4,Shanghai Indoor Stadium,Yishan Road
5,Xinzhuang,Chunshen Road
5,Chunshen Road,Yindu Road
5,Yindu Road,Zhuanqiao
5,Zhuanqiao,Beiqiao
5,Beiqiao,Jianchuan Road
5,Jianchuan Road,Dongchuan Road
5,Dongchuan Road,Jiangchuan Road
5,Jiangchuan Road,Xidu
5,Xidu,Xiaotang
5,Xiaotang,Fengpu Avenue
5,Fengpu Avenue,Huanchengdong Road
5,Huanchengdong Road,Wangyuan Road
5,Wangyuan Road,Jinhai Lake
5,Jinhai Lake,Fengxian Xincheng
5,Dongchuan Road,Jinping Road
5,Jinping Road,Huaning Road
5,Huaning Road,Wenjing Road
5,Wenjing Road,Minhang Development Zone
6,Gangcheng Road,North Waigaoqiao Free Trade Zone
6,North Waigaoqiao Free Trade Zone,Hangjin Road
6,Hangjin Road,South Waigaoqiao Free Trade Zone
6,South Waigaoqiao Free Trade Zone,Zhouhai Road
6,Zhouhai Road,Wuzhou Avenue
6,Wuzhou Avenue,Dongjing Road
6,Dongjing Road,Jufeng Road
6,Jufeng Road,Wulian Road
6,Wulian Road,Boxing Road
6,Boxing Road,Jinqiao Road
6,Jinqiao Road,Yunshan Road
6,Yunshan Road,Deping Road
6,Deping Road,Beiyangjing Road
6,Beiyangjing Road,Minsheng Road
6,Minsheng Road,Yuanshen Stadium
6,Yuanshen Stadium,Century Avenue
6,Century Avenue,Pudian Road
6,Pudian Road,Lancun Road
6,Lancun Road,Shanghai Children's Medical Center
6,Shanghai Children's Medical Center,Linyi Xincun
6,Linyi Xincun,West Gaoke Road
6,West Gaoke Road,Dongming Road
6,Dongming Road,Gaoqing Road
6,Gaoqing Road,West Huaxia Road
6,West Huaxia Road,Shangnan Road
6,Shangnan Road,South Lingyan Road
6,South Lingyan Road,Oriental Sports Center
,,
