Lines;start_station;destination;;;;;;;
1;Xinzhuang;Waihuanlu;;;;1 = xinzhuang;;;
1;Waihuanlu;Lianhua Road;;;;2= waihuanlu;;;
1;Lianhua Road;Jinjiang Park;;;;3=Lianhua Road;;;
1;Jinjiang Park;Shanghai South Railway Station;;;;5=Shanghai South Railway Station;;;
1;Shanghai South Railway Station;Caobao Road;;;;7=Shanghai Indoor Stadium;;;
1;Caobao Road;Shanghai Indoor Stadium;;;;8=Xujiahui;;;
1;Shanghai Indoor Stadium;Xujiahui;;;;9=Hengshan Road;;;
1;Xujiahui;Hengshan Road;;;;10=Changshu Road;;;
1;Hengshan Road;ÊChangshu Road;;;;11=South Shaanxi Road;;;
1;Changshu Road;South Shaanxi Road;;;;12=Site of First CPC National Congress - South Huangpi Road;;;
1;South Shaanxi Road;Site of the First CPC National Congress - South Huangpi Road;;;;13= People's Square;;;
1;Site of the First CPC National Congress - South Huangpi Road;People's Square;;;;14=Xinzha Road;;;
1;People's Square;Xinzha Road;;;;15=Hanzhong Road;;;
1;Xinzha Road;Hanzhong Road;;;;16=Shanghai Railway Station;;;
1;Hanzhong Road;Shanghai Railway Station;;;;17=North Zongshan Road;;;
1;Shanghai Railway Station;North Zhongshan Road;;;;18=Yanchang Road;;;
1;North Zhongshan Road;Yanchang Road;;;;19=Shanghai Circus World;;;
1;Yanchang Road;Shanghai Circus World;;;;20=Wenshui Road;;;
1;Shanghai Circus World;Wenshui Road;;;;21=Pengpu Xincun;;;
1;Wenshui Road;Pengpu Xincun;;;;22=Gongkang Road;;;
1;Pengpu Xincun;Gongkang Road;;;;23=Tonghe Xincun;;;
1;Gongkang Road;Tonghe Xincun;;;;24=Hulan Road;;;
1;Tonghe Xincun;Hulan Road;;;;25=Gongfu Xincun;;;
1;Hulan Road;Gongfu Xincun;;;;26=Bao'an Highway;;;
1;Gongfu Xincun;Bao'an Highway;;;;27=West Youyi Road;;;
1;Bao'an Highway;West Youyi Road;;;;28=Fujin Road;;;
1;West Youyi Road;Fujin Road;;;;29=Hongqiao Railway Station;;;
2;East Xujing;Hongqiao Railway Station;;;;30=Hongqiao Airport Terminal 2;;;
2;Hongqiao Railway Station;Hongqiao Airport Terminal 2;;;;31=Songhong Road;;;
2;Hongqiao Airport Terminal 2;Songhong Road;;;;32=Beixinjing;;;
2;Songhong Road;Beixinjing;;;;33=Loushanguan Road;;;
2;Beixinjing;Weining Road;;;;34=Zhongshan Park;;;
2;Weining Road;Loushanguan Road;;;;35=Jiangsu Road;;;
2;Loushanguan Road;Zhongshan Park;;;;36=Jing'an Temple;;;
2;Zhongshan Park;Jiangsu Road;;;;37=West Nanjing Road;;;
2;Jiangsu Road;Jing'an Temple;;;;38=People's Square;;;
2;Jing'an Temple;West Nanjing Road;;;;39=East Nanjing Road;;;
2;West Nanjing Road;People's Square;;;;40=Lujiazui;;;
2;People's Square;East Nanjing Road;;;;41=Dongchang Road;;;
2;East Nanjing Road;Lujiazui;;;;42=Century Avenue;;;
2;Lujiazui;Dongchang Road;;;;43=Shanghai Science and Technology Museum;;;
2;Dongchang Road;Century Avenue;;;;44=Century Park;;;
2;Century Avenue;Shanghai Science and Technology Museum;;;;45=Longyang Road;;;
2;Shanghai Science and Technology Museum;Century Park;;;;46=Zhangjiang Hi-Tech Park;;;
2;Century Park;Longyang Road;;;;47=Jinke Road;;;
2;Longyang Road;Zhangjiang Hi-Tech Park;;;;48=Guanglan Road;;;
2;Zhangjiang Hi-Tech Park;Jinke Road;;;;49=Tangzhen;;;
2;Jinke Road;Guanglan Road;;;;50=Middle Chuangxin Road;;;
2;Guanglan Road;Tangzhen;;;;51=East Huaxia Road;;;
2;Tangzhen;Middle Chuangxin Road;;;;52=Chuansha;;;
2;Middle Chuangxin Road;East Huaxia Road;;;;53=Lingkong Road;;;
2;East Huaxia Road;Chuansha;;;;54=Yuandong Avenue;;;
2;Chuansha;Lingkong Road;;;;55=Haitiansan Road;;;
2;Lingkong Road;Yuandong Avenue;;;;56=Pudong International Airport;;;
2;Yuandong Avenue;Haitiansan Road;;;;57=Shilong Road;;;
2;Haitiansan Road;Pudong International Airport;;;;58=Longcao Road;;;
3;Shanghai South Railway Station;Shilong Road;;;;59=Caoxi Road;;;
3;Shilong Road;Longcao Road;;;;60=Yishan Road;;;
3;Longcao Road;Caoxi Road;;;;61=Hongqiao Road;;;
3;Caoxi Road;Yishan Road;;;;62=West Yan'an Road;;;
3;Yishan Road;Hongqiao Road;;;;63=Zhongshan Park;;;
3;Hongqiao Road;West Yan'an Road;;;;64=Jinshajiang Road;;;
3;West Yan'an Road;Zhongshan Park;;;;65=Caoyang Road;;;
3;Zhongshan Park;Jinshajiang Road;;;;66=Zhenping Road;;;
3;Jinshajiang Road;Caoyang Road;;;;67=Zhongtan Road;;;
3;Caoyang Road;Zhenping Road;;;;68=Shanghai Railway Station;;;
3;Zhenping Road;Zhongtan Road;;;;69=Baoshan Road;;;
3;Zhongtan Road;Shanghai Railway Station;;;;70=Dongbaoxing Road;;;
3;Shanghai Railway Station;Baoshan Road;;;;71=Hongkou Football Stadium;;;
3;Baoshan Road;Dongbaoxing Road;;;;72=Chifeng Road;;;
3;Dongbaoxing Road;Hongkou Football Stadium;;;;73=Dabaishu;;;
3;Hongkou Football Stadium;Chifeng Road;;;;74=Jiangwan Town;;;
3;Chifeng Road;Dabaishu;;;;75=West Yingao Road;;;
3;Dabaishu;Jiangwan Town;;;;76=South Changjiang Road;;;
3;Jiangwan Town;West Yingao Road;;;;77=Songfa Road;;;
3;West Yingao Road;South Changjiang Road;;;;78=Zhanghuabang;;;
3;South Changjiang Road;Songfa Road;;;;79=Songbin Road;;;
3;Songfa Road;Zhanghuabang;;;;80=Shuichan Road;;;
3;Zhanghuabang;Songbin Road;;;;81=Baoyang Road;;;
3;Songbin Road;Shuichan Road;;;;82=Youyi Road;;;
3;Shuichan Road;Baoyang Road;;;;83=Tieli Road;;;
3;Baoyang Road;Youyi Road;;;;84=North Jiangyang Road;;;
3;Youyi Road;Tieli Road;;;;85=Hongqiao Road;;;
3;Tieli Road;North Jiangyang Road;;;;86=West Yan'an Road;;;
4;Yishan Road;Hongqiao Road;;;;87=Zhongshan Park;;;
4;Hongqiao Road;West Yan'an Road;;;;88=Jinshajiang Road;;;
4;West Yan'an Road;Zhongshan Park;;;;89=Caoyang Road;;;
4;Zhongshan Park;Jinshajiang Road;;;;90=Zhenping Road;;;
4;Jinshajiang Road;Caoyang Road;;;;91=Zhongtan Road;;;
4;Caoyang Road;Zhenping Road;;;;92=Shanghai Railway Station;;;
4;Zhenping Road;Zhongtan Road;;;;93=Baoshan Road;;;
4;Zhongtan Road;Shanghai Railway Station;;;;94=Hailun Road;;;
4;Shanghai Railway Station;Baoshan Road;;;;95=Linping Road;;;
4;Baoshan Road;Hailun Road;;;;96=Dalian Road;;;
4;Hailun Road;Linping Road;;;;97=Yangshupu Road;;;
4;Linping Road;Dalian Road;;;;98=Pudong Avenue;;;
4;Dalian Road;Yangshupu Road;;;;99=Century Avenue;;;
4;Yangshupu Road;Pudong Avenue;;;;100=Pudian Road;;;
4;Pudong Avenue;Century Avenue;;;;101=Lancun Road;;;
4;Century Avenue;Pudian Road;;;;102=Tangqiao;;;
4;Pudian Road;Lancun Road;;;;103=Nanpu Bridge;;;
4;Lancun Road;Tangqiao;;;;104=South Xizang Road;;;
4;Tangqiao;Nanpu Bridge;;;;105=Luban Road;;;
4;Nanpu Bridge;South Xizang Road;;;;106=Damuqiao Road;;;
4;South Xizang Road;Luban Road;;;;107=Dong'an Road;;;
4;Luban Road;Damuqiao Road;;;;108=Shanghai Stadium;;;
4;Damuqiao Road;Dong'an Road;;;;109=Shanghai Indoor Stadium;;;
4;Dong'an Road;Shanghai Stadium;;;;110=Yishan Road;;;
4;Shanghai Stadium;Shanghai Indoor Stadium;;;;111=Chunshen Road;;;
4;Shanghai Indoor Stadium;Yishan Road;;;;112=Yindu Road;;;
5;Xinzhuang;Chunshen Road;;;;113=Zhuanqiao;;;
5;Chunshen Road;Yindu Road;;;;114=Beiqiao;;;
5;Yindu Road;Zhuanqiao;;;;115=Jianchuan Road;;;
5;Zhuanqiao;Beiqiao;;;;116=Dongchuan Road;;;
5;Beiqiao;Jianchuan Road;;;;117=Jiangchuan Road;;;
5;Jianchuan Road;Dongchuan Road;;;;118=Xidu;;;
5;Dongchuan Road;Jiangchuan Road;;;;119=Xiaotang;;;
5;Jiangchuan Road;Xidu;;;;120=Fengpu Avenue;;;
5;Xidu;Xiaotang;;;;121=Huanchengdong Road;;;
5;Xiaotang;Fengpu Avenue;;;;122=Wangyuan Road;;;
5;Fengpu Avenue;Huanchengdong Road;;;;123=Jinhai Lake;;;
5;Huanchengdong Road;Wangyuan Road;;;;124=Fengxian Xincheng;;;
5;Wangyuan Road;Jinhai Lake;;;;125=Jinping Road;;;
5;Jinhai Lake;Fengxian Xincheng;;;;126=Huaning Road;;;
5;Dongchuan Road;Jinping Road;;;;127=Wenjing Road;;;
5;Jinping Road;Huaning Road;;;;128=Minhang Development Zone;;;
5;Huaning Road;Wenjing Road;;;;129=North Waigaoqiao Free Trade Zone;;;
5;Wenjing Road;Minhang Development Zone;;;;130=Hangjin Road;;;
6;Gangcheng Road;North Waigaoqiao Free Trade Zone;;;;131=South Waigaoqiao Free Trade Zone;;;
6;North Waigaoqiao Free Trade Zone;Hangjin Road;;;;132=Zhouhai Road;;;
6;Hangjin Road;South Waigaoqiao Free Trade Zone;;;;133=Wuzhou Avenue;;;
6;South Waigaoqiao Free Trade Zone;Zhouhai Road;;;;134=Dongjing Road;;;
6;Zhouhai Road;Wuzhou Avenue;;;;135=Jufeng Road;;;
6;Wuzhou Avenue;Dongjing Road;;;;136=Wulian Road;;;
6;Dongjing Road;Jufeng Road;;;;137=Boxing Road;;;
6;Jufeng Road;Wulian Road;;;;138=Jinqiao Road;;;
6;Wulian Road;Boxing Road;;;;139=Yunshan Road;;;
6;Boxing Road;Jinqiao Road;;;;140=Deping Road;;;
6;Jinqiao Road;Yunshan Road;;;;141=Beiyangjing Road;;;
6;Yunshan Road;Deping Road;;;;142=Minsheng Road;;;
6;Deping Road;Beiyangjing Road;;;;143=Yuanshen Stadium;;;
6;Beiyangjing Road;Minsheng Road;;;;144=Century Avenue;;;
6;Minsheng Road;Yuanshen Stadium;;;;145=Pudian Road;;;
6;Yuanshen Stadium;Century Avenue;;;;146=Lancun Road;;;
6;Century Avenue;Pudian Road;;;;147=Shanghai Children's Medical Center;;;
6;Pudian Road;Lancun Road;;;;148=Linyi Xincun;;;
6;Lancun Road;Shanghai Children's Medical Center;;;;149=West Gaoke Road;;;
6;Shanghai Children's Medical Center;Linyi Xincun;;;;150=Dongming Road;;;
6;Linyi Xincun;West Gaoke Road;;;;151=Gaoqing Road;;;
6;West Gaoke Road;Dongming Road;;;;152=West Huaxia Road;;;
6;Dongming Road;Gaoqing Road;;;;153=Shangnan Road;;;
6;Gaoqing Road;West Huaxia Road;;;;154=South Lingyan Road;;;
6;West Huaxia Road;Shangnan Road;;;;155=Oriental Sports Center;;;
6;Shangnan Road;South Lingyan Road;;;;;;;
6;South Lingyan Road;Oriental Sports Center;;;;;;;
7;Meilan Lake;Luonan Xincun;;;;;;;
7;Luonan Xincun;Panguang Road;;;;;;;
7;Panguang Road;Liuhang;;;;;;;
7;Liuhang;Gucun Park;;;;;;;
7;Gucun Park;Qihua Road;;;;;;;
7;Qihua Road;Shanghai University;;;;;;;
7;Shanghai University;Nanchen Road;;;;;;;
7;Nanchen Road;Shangda Road;;;;;;;
7;Shangda Road;Changzhong Road;;;;;;;
7;Changzhong Road;Dachang Town;;;;;;;
7;Dachang Town;Xingzhi Road;;;;;;;
7;Xingzhi Road;Dahuasan Road;;;;;;;
7;Dahuasan Road;Xincun Road;;;;;;;
7;Xincun Road;Langao Road;;;;;;;
7;Langao Road;Zhenping Road;;;;;;;
7;Zhenping Road;Changshou Road;;;;;;;
7;Changshou Road;Changping Road;;;;;;;
7;Changping Road;Jing'an Temple;;;;;;;
7;Jing'an Temple;Changshu Road;;;;;;;
7;Changshu Road;Zhaojiabang Road;;;;;;;
7;Zhaojiabang Road;Dong'an Road;;;;;;;
7;Dong'an Road;Middle Longhua Road;;;;;;;
7;Middle Longhua Road;Houtan;;;;;;;
7;Houtan;Changqing Road;;;;;;;
7;Changqing Road;Yaohua Road;;;;;;;
7;Yaohua Road;Yuntai Road;;;;;;;
7;Yuntai Road;West Gaoke Road;;;;;;;
7;West Gaoke Road;South Yanggao Road;;;;;;;
7;South Yanggao Road;Jinxiu Road;;;;;;;
7;Jinxiu Road;Fanghua Road;;;;;;;
7;Fanghua Road;Longyang Road;;;;;;;
7;Longyang Road;Huamu Road;;;;;;;
8;Shiguang Road;Nenjiang Road;;;;;;;
8;Nenjiang Road;Xiangyin Road;;;;;;;
8;Xiangyin Road;Huangxing Park;;;;;;;
8;Huangxing Park;Middle Yanji Road;;;;;;;
8;Middle Yanji Road;Huangxing Road;;;;;;;
8;Huangxing Road;Jiangpu Road;;;;;;;
8;Jiangpu Road;Anshan Xincun;;;;;;;
8;Anshan Xincun;Siping Road;;;;;;;
8;Siping Road;Quyang Road;;;;;;;
8;Quyang Road;Hongkou Football Stadium;;;;;;;
8;Hongkou Football Stadium;North Xizang Road;;;;;;;
8;North Xizang Road;Zhongxing Road;;;;;;;
8;Zhongxing Road;Qufu Road;;;;;;;
8;Qufu Road;People's Square;;;;;;;
8;People's Square;Dashijie;;;;;;;
8;Dashijie;Laoximen;;;;;;;
8;Laoximen;Lujiabang Road;;;;;;;
8;Lujiabang Road;South Xizang Road;;;;;;;
8;South Xizang Road;China Art Museum;;;;;;;
8;China Art Museum;Yaohua Road;;;;;;;
8;Yaohua Road;Chengshan Road;;;;;;;
8;Chengshan Road;Yangsi;;;;;;;
8;Yangsi;Oriental Sports Center;;;;;;;
8;Oriental Sports Center;Lingzhao Xincun;;;;;;;
8;Lingzhao Xincun;Luheng Road;;;;;;;
8;Luheng Road;Pujiang Town;;;;;;;
8;Pujiang Town;Jiangyue Road;;;;;;;
8;Jiangyue Road;Lianhang Road;;;;;;;
8;Lianhang Road;Shendu Highway;;;;;;;
9;Songjiang South Railway Station;Zuibaichi Park;;;;;;;
9;Zuibaichi Park;Songjiang Sports Center;;;;;;;
9;Songjiang Sports Center;Songjiang Xincheng;;;;;;;
9;Songjiang Xincheng;Songjiang University Town;;;;;;;
